timestamp,water_level_pct,rainfall_mm_hr,inflow_m3s,downstream_lvl_pct,phase_note,scenario
2024-06-01 00:00:00,39.96,2.33,115.91,35.2,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:01:00,40.1,3.45,116.23,35.26,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:02:00,39.97,1.69,118.03,34.82,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:03:00,39.96,3.59,120.24,35.33,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:04:00,39.99,3.16,121.64,34.67,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:05:00,40.04,3.41,122.36,34.85,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:06:00,39.99,2.46,121.28,34.98,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:07:00,40.07,3.0,119.81,34.97,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:08:00,40.07,3.23,120.97,35.21,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:09:00,39.95,2.28,117.09,34.86,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:10:00,40.02,3.03,118.83,35.06,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:11:00,40.08,3.21,114.14,35.04,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:12:00,40.05,3.96,117.42,35.46,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:13:00,39.94,2.41,121.6,34.98,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:14:00,40.07,2.42,123.8,34.42,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:15:00,40.18,3.56,121.97,35.16,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:16:00,40.07,3.64,118.4,35.81,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:17:00,40.13,2.79,119.0,34.63,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:18:00,40.09,3.64,116.07,35.58,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:19:00,40.07,3.09,119.26,35.05,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:20:00,40.15,3.5,121.46,34.98,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:21:00,40.09,3.31,120.59,35.6,S2-Calm baseline,Scenario_2_Heavy_Rain
2024-06-01 00:22:00,40.18,2.77,120.97,34.72,S2-Calm baseline,Scenario_2_Heavy_Rain
